,,,,,,,,,,,,
ENTREGAS FLECHAS OPGW - ACAR1000 HMV-WSP,,,,,,,,,,,,
,,,,,,,,,,,,
TORRE,TIPO,TENDIDO,CORRECCIONES,AVANCE CORRECCIONES,ENTREGAS OC-HMV,SEGUNDA VISITA,AVANCE ENTREGAS,FIRMA HMV,,,,
Portico,Pórtico,0,,,,,,,,,,
T033,B6,HG,2025-11-25 00:00:00,1,,2025-11-26 00:00:00,1,,torre 33 por motivo de que el dueño de la finca no estaba para el ingreso. Torre 33 quedó 100% se hizo entrada de planta y herramientas se hizo reparación de puntas de diamante pata (B) y (C) resane de pedestales y desborde de filos. CORREGIDO,Pintura Negra CORREGIDO 21/11/25,,
T034,B4,HG,2025-11-17 00:00:00,1,,2025-11-26 00:00:00,1,,torre 34 quedó 100% se hizo resane de pedestales retoque de pintura desborde de filos REVEGETALIZACION - CORREGIDO,Pintura Negra CORREGIDO 21/11/25,,
T035,B4,HG,2025-11-17 00:00:00,1,,2025-11-26 00:00:00,1,,Torre 35 quedó 100% se hizo resane de pedestales desborde de filos retoque de pintura y sembrado de pasto CORREGIDO,Pintura Negra CORREGIDO 21/11/25,,
T036,D2,HG,2025-11-17 00:00:00,1,,2025-11-28 00:00:00,1,,Torre 36 quedó 100% se hizo resane de pedestales desborde de filos retoque de pintura y sembrado de pasto CORREGIDO,Pintura Negra CORREGIDO 21/11/25,,
T037,C2,HG,2025-11-18 00:00:00,1,,2025-11-28 00:00:00,1,,torre 37 quedó 100% se hizo reparación de puntas de diamante pata (A) (B) (C) y (D) se hizo resane de pedestales desborde de filos retoque de pintura y recoformación de terreno CORREGIDO,Pintura Negra CORREGIDO 21/11/25,,
T038,A3,HG,2025-11-19 00:00:00,1,,2025-11-28 00:00:00,1,,torre 38 quedó 100% se hizo reparación de puntas de diamante (A) (B) (C) y (D) se hizo resane de pedestales conformación de terren,Pintura Negra CORREGIDO 19/11/25,,
T039,A3,HG,2025-11-20 00:00:00,1,2025-11-08 00:00:00,2025-11-28 00:00:00,1,OBSERVACIONES,Torre 39 quedó 100% se hizo resane de pedestales desborde de filos pendiente retoque de pintura CORREGIDO,Pintura Negra CORREGIDO 20/11/26,Pintura Negra CORREGIDO 21/11/25,
T040,A4,HG,2025-11-20 00:00:00,1,,2025-11-28 00:00:00,1,,Torre 40 quedó 100% se hizo reparación puntas de diamante pata (C) y (D) se hizo recoformación de terreno pata (A) (C) y (D)  se hizo resane de pedestales y retoque de pintura CORREGIDO,Pintura Negra CORREGIDO 20/11/26,Pintura Negra CORREGIDO 21/11/25,
T041,A4,HG,2025-11-20 00:00:00,1,,2025-11-28 00:00:00,1,,Torre 41 quedó 85% se hizo resane de pedestales desborde de filos queda pendiente retoque de pintura CORREGIDO,Pintura Negra CORREGIDO 21/11/25,,
T042,A3,HG,2025-11-20 00:00:00,1,,2025-11-28 00:00:00,1,,"Torre 42 quedó 85% se hizo recoformación de terreno pata
 (A) (B) (C) (D) Resane de pedestales desborde de filos pendiente retoque de pintura  CORREGIDO",,,
T043,D5,HG,2025-11-21 00:00:00,1,,2025-11-28 00:00:00,1,,Torre 43 resane de pedestales y desborde de filos  quedó 100% se hizo retoque de base queda pendiente retoque de pintura  CORREGIDO,,,
T044,D5,HG,2025-11-21 00:00:00,1,,2025-11-28 00:00:00,1,,Torre 44 se hizo reparación de puntas de diamante pata (B) (D) resane de pedestales conformación de terreno pata (A) Y (D) sembrado de pasto quedó 100% se hizo retoque de base queda pendiente retoque de pintura CORREGIDO,,,
T045,B7,HG,2025-11-23 00:00:00,1,,2025-11-28 00:00:00,1,,torre 45 quedó 100% se hizo resane de pedestales desborde de filos recoformación de terreno(15cm) pata (D) se aplicó retoque de base.CORREGIDO,,,
T046,A7,HG,2025-11-23 00:00:00,1,,2025-11-28 00:00:00,1,,Torre 46 quedó 100% se hizo resane de pedestales reconformación de terreno pata (A) 15cm se aplicó retoque de base CORREGIDO,,,
T047,B7,HG,2025-11-23 00:00:00,1,,2025-11-28 00:00:00,1,,Torre 47 quedó 100% se hizo resane de pedestales desborde de filos y reconformación de terreno 15cm pata(B) se hizo limpieza de escombros. CORREGIDO,,,
T048,B6,HG,2025-11-24 00:00:00,1,,,0,, torre 48 quedó 100% en resane de pedestales se hizo desborde de filos conformación de terreno pata (B) 15cm CORREGIDO,,,
T049,C5,HG,2025-11-24 00:00:00,1,2025-11-07 00:00:00,,0.75,OBSERVACIONES,Torre 49 quedó 100% se hizo corrección de desborde de filos se hizo resane de pedestales y lijado CORREGIDO,,,
T050,C5,HG,2025-11-24 00:00:00,1,2025-11-07 00:00:00,,0.75,OBSERVACIONES,Torre 50 quedó 100% se hizo corrección de resane de pedestales desborde de filos se hizo corrección de terreno pata (A) 15cm se hizo relleno de cunetas por lluvias en sitio de torre y se pisono CORREGIDO,,,
T051,A4,HG,2025-11-26 00:00:00,1,,,0,,torre 51 quedó 100% se hizo corrección de terreno pata (B) 15cm se hizo desborde de filos  CORREGIDO,,,
T052,B6,HG,2025-10-24 00:00:00,1,2025-11-08 00:00:00,,1,OBSERVACIONES,CORREGIR 3 SACOS QUE NO CUMPLEN EL ANCHO DE CUNETA EN LA BASE,,,
T053,B7,HG,2025-10-24 00:00:00,1,2025-11-08 00:00:00,,0.75,OBSERVACIONES,WSP PROPONE  INSTALAR TRINCHO EN PATA B / 16m DE CUNETA PARALELOS A PATAS A-D + DESCOLE 3m / 17m DE CUNETA PARALELOS A PATAS C-D + DESCOLE 3m - ,,,
T054,B4,HG,2025-11-26 00:00:00,1,,,0,,Torre 54 quedó 100% se hizo resane de pedestales y desborde de filos pata (B) y (C) CORREGIDO,,,
T055,A4,HG,2025-11-26 00:00:00,1,,,0,,Torre 55 quedó 100% se hizo reparación de puntas de diamante A B C D Resane de pedestales desborde de filos recoformación de terreno pata (D)CORREGIDO,,,
T056,A5,HG,2025-11-28 00:00:00,1,,,0,, torre 56 resane de pedestales y desborde de filos queda 100% se aplicó 3 capas de base CORREGIDO,,,
T057,B3,HG,2025-11-27 00:00:00,1,,,0,,Torre 57 quedó 100% se hizo resane de pedestales desborde de filos conformación de terreno 15cm pata (C )y (D) CORREGIDO,,,
T058,B3,HG,2025-11-27 00:00:00,1,,,0,,Torre 58 quedó 100% se hizo resane de pedestales y desborde de filos se reconformo terreno de hundimiento de huecos de protecciones CORREGIDO,,,
T059,B2,HG,2025-11-29 00:00:00,1,2025-11-07 00:00:00,,0.75,OBSERVACIONES,torre 59 quedó 100% se hizo reparación de puntas de diamante patas A B C D  se hizo resane de pedestales y desborde de filos CORREGIDO,,,
T060,A7,HG,,0,,,0,,,,,
T061,A60M,HG,,0,,,0,,,,,
T062,B5,HG,,0,,,0,,,,,
T063,AE,HG,,0,,,0,,,,,
T064,AE,HG,,0,,,0,,,,,
T065,D4,HG,,0,,,0,,,,,
T066 Pórtico PDO,PORTICO ,0,,,,,0,,,,,
,,,,,,,,,,,,
