,,SEMAFORO SOCIO-AMBIENTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DEPARTA MENTO,MUNICIPIO,UNIDAD TERRITORIAL,PREDIO,PIPC - MUNICIPIO,,PIPC - UNIDAD TERRITORIAL,,TORRE,GESTION AMBIENTAL,,,,,,,,,,LIBERACION PREDIAL PDO,,,SEMÁFORO LIBERACION - AMBIENTAL,APROV. FORESTAL VANO,,RESCATE ARQUELOGICO,,OBSERVACIONES ,,,,,,
,,,,,,,,,,AHUYENTMIENTO DE ESPECIES,,APROV. FORESTAL SITIO DE TORRE,,ARQUEOLOGIA POLIGONOS / PROSPECCIÓN,,ARQUEOLOGIA TORRE,CAMBIO MENOR L.A.,ADECUACION DE ACCESOS,,,,,,,,,,,,,,,,
,,,,EL CORTIJO,,0,,0,T29, ,1,N/A,1,OK,1,,,,0,SI,1,#REF!,,N/A,1,,0,,,,,,,
,,,,LA LAGUNA,,0,,0,T30,2025-04-08 00:00:00,1,N/A,1,OK,1,,,,0,SI,1,#REF!,,N/A,1,,0,,,,,,,
,,,,SAN ANDRES,,0,,0,T31, ,1,,1,OK,1,,,,0,SI,1,#REF!,,N/A,1,,0,,,,,,,
,,,,LA PROVIDENCIA,,0,,0,T32,2025-02-25 00:00:00,1,2025-02-25 00:00:00,1,OK,1,,,,0,SI,1,#REF!,,N/A,1,,0,,,,,,,
,,,,,,0,,0,T33,2025-02-25 00:00:00,1,2025-02-26 00:00:00,1,OK,1,,,,0,SI,1,#REF!,,N/A,1,,0,,,,,,,
,,,,LA ROMELIA,,0,,0,T34,2025-02-25 00:00:00,1,2025-02-27 00:00:00,1,OK,1,,,,0,SI,1,#REF!,,N/A,1,,0,,,,,,,
,,,,EL RUBI,,0,,0,T35,2025-04-03 00:00:00,1,N/A,1,OK,1,,,,0,SI,1,#REF!,,N/A,1,,0,,,,,,,
,,,,,,0,,0,T36,2025-04-04 00:00:00,1,N/A,1,OK,1,,,,0,SI,1,#REF!,,N/A,1,,0,,,,,,,
,,,,,,0,,0,T37,2025-04-04 00:00:00,1,N/A,1,OK,1,,,,0,SI,1,#REF!,,N/A,1,,0,,,,,,,
,,,,,,0,,0,T38,2025-04-04 00:00:00,1,N/A,1,OK,1,,,,0,SI,1,#REF!,,N/A,1,,0,,,,,,,
