2026-04-15 00:00:00,TEND 1,,,,,,,,,,,,,20,,,,,1,2,3,4,5,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,TERMINADA,,,,,20,,,,,,,,,,,0,,31567312.000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,EJECUT,,,,1,,1,,,1,1,1,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,EJECUT,,,,64,,64,,,64,64,64,64,,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,EJECUT %,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15,22503.14,,,,,,,,,,,,25,,25,717.57346,,25,25,25,25,25,25,25,,,,25,,,,,,,,OPGW IZQ,OPGW IZQ,OPGW DER,OPGW DER,,,,,,,,,,,,,,,,,,,,
Tower,"TRAMO 
TEND","VANO
(m)",Type transport,Foundation,PATA A,PATA B,PATA C,PATA D,EJECUTOR CIVIL,Type,PLATINAS,CONCRETO,COMPACTACION,"% 
CIVIL","% 
SPT","% 
selecc structure","weight
(kg)","Cuadrilla
Montaje","% 
Transport","%
prearma","% 
mounting","% 
Review 
structure",Verticality Torsion,Received by INSTELEC supervision,Reception WSP,Program Reception date,Crossing of line,OPGW,VESTIDA,"VESTIDA 
ACAR","VESTIDA 
OPGW 
IZQ","VESTIDA 
OPGW 
DER",RIEGA F1,RIEGA F2,RIEGA F3,CAJAS DE OPGW,TGFO RIEGA DE MANILA,TGFO RIEGA DE GUAYA,TGCONV RIEGA DE MANILA,TGCONV RIEGA DE GUAYA,,,,,,X,X,X,,,,,,,,,,,,
T017,TEND 1,211.16,,Z,3,3,3,3,SH,A5,,1,1,1,1,1,8553.78,CRUZ,1,1,1,1,2025-06-09 00:00:00,1,1,,,,1,1,1,1,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,
T018,TEND 1,259.78,,Z,3,3,3,3,SH,B2,,1,1,1,1,1,6051.63,CRUZ,1,1,1,1,2025-05-30 00:00:00,1,1,,,,1,1,1,1,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,
T019,TEND 1,309.86,MULAR,Z,7.5,3,7.5,9,,A6,,1,1,1,1,1,11117.1,CRUZ,1,1,1,1,2025-06-09 00:00:00,1,1,,,,1,1,1,1,,,,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,
T020,TEND 1,340.38,,HE,4.5,4.5,4.5,4.5,INST,A7,,1,1,1,1,1,12010.85,HG,1,1,1,1,2025-07-02 00:00:00,1,1,,,,1,1,1,1,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,
T021,TEND 1,312.19,,HE,3,3,3,3,INST,B2,,1,1,1,1,1,6051.63,HG,1,1,1,1,2025-06-18 00:00:00,1,1,,,,1,1,1,1,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,
T022,TEND 1,330.49,,HE,7.5,7.5,7.5,7.5,,C7,OK,1,1,1,1,1,13975.38,CRUZ,1,1,1,1,2025-07-14 00:00:00,1,1,,,,1,1,1,1,,,,,1,1,1,1,,,,,,TRACTOR,,,,,,,,,,,,,,
T023,TEND 1,428.52,,HE,3,3,3,4.5,,B7,,1,1,1,1,1,12362.32,HG,1,1,1,1,2025-06-14 00:00:00,1,1,,,,1,1,1,1,,,,,1,1,1,1,,,,,,TRACTOR,,,,,,,,,,,,,,
T024,TEND 1,473.87,,HE,6,6,6,6,MECT,B7,,1,1,1,1,1,12888.31,HG,1,1,1,1,2025-06-14 00:00:00,1,1,,,,1,1,1,1,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,
T026,TEND 2,313.7,,HE,3,3,3,3,MECT,B3,,1,1,1,1,1,7003.34,HG,1,1,1,1,2025-06-14 00:00:00,1,1,,,,1,1,1,1,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,
T027,TEND 2,270.23,,HE,3,3,3,3,INST,A6,,1,1,1,1,1,10263.02,HG,1,1,1,1,2025-07-12 00:00:00,1,1,,,,1,1,1,1,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,
T028,TEND 2,390.85,,HE,3,3,3,3,,B5,,1,1,1,1,1,9171.39,CRUZ,1,1,1,1,2025-07-09 00:00:00,1,1,,,,1,1,1,1,,,,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,
T029,TEND 2,359.48,,Z,3,3,3,3,,C4,OK,1,1,1,1,1,9135.29,CRUZ,1,1,1,1,2025-07-08 00:00:00,1,1,,,,1,1,1,1,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,
T030,TEND 2,383.46,,HE,3,3,3,3,,B7,,1,1,1,1,1,12299.43,CRUZ,1,1,1,1,2025-07-08 00:00:00,1,1,,,,1,1,1,1,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,
T031,TEND 2,316.34,,HE,3,3,3,3,,A7,,1,1,1,1,1,11676.85,HG,1,1,1,1,2025-07-12 00:00:00,1,1,,,,1,1,1,1,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,
T032,TEND 2,428.76,,HE,7.5,7.5,6,3,,A6,,1,1,1,1,1,10263.02,HG,1,1,1,1,2025-07-08 00:00:00,1,1,,,,1,1,1,1,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,
T033,TEND 2,247.92,MULAR,Z,3,3,4.5,6,,B6,,1,1,1,1,1,11507.1,CRUZ,1,1,1,1,2025-07-08 00:00:00,1,1,,,,1,1,1,1,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,
T034,TEND 2,331.39,MULAR,Z,3,3,3,3,,B4,,1,1,1,1,1,8457.95,CRUZ,1,1,1,1,2025-07-08 00:00:00,1,1,,,,1,1,1,1,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,
T035,TEND 2,334.68,,HE,3,3,3,3,SH,B4,,1,1,1,1,1,8247.84,CRUZ,1,1,1,1,2025-07-08 00:00:00,1,1,,,,1,1,1,1,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,
T036,TEND 2,294.69,,HE,3,3,3,3,SH,D2,OK,1,1,1,1,1,6605.52,CRUZ,1,1,1,1,2025-07-08 00:00:00,1,1,,"13,2kV",,1,1,1,1,,,,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,
T037,TEND 2,351.38,,HE,3,3,3,3,SH,C2,OK,1,1,1,1,1,5519.72,CRUZ,1,1,1,1,2025-07-08 00:00:00,1,1,,,,1,1,1,1,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,
T038,TEND 2,341.25,,HE,3,3,3,3,SH,A3,,1,1,1,1,1,6394.2,HG,1,1,1,1,2025-07-15 00:00:00,1,1,,,,1,1,1,1,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,
