,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,PROYECTO,,64,,
,,,,,,
,,,,REALIZADO,,FALTA
,OC,CONCRETO,,64,,0
,OC,COMPACTADA,,64,0,0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,MON,SELECCION,,64,,0
,MON,TRANSPORTE,,64,,0
,,,,,,
,MON,PREARMADO,,64,,0
,MON,MONTADO,,64,,0
,MON,REVISADO,,64,,0
,MON,ENTREGADO,,64,,0
