,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FECHA,,,,,,,,,,,,,,,,,,,,,,VIA,,,,,,
,,2026-02-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HOCHIMIN  LÍNEA DE TRANSMISIÓN SAN FELIPE - POD 230KV,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"TIRO

004",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HAY ,FALTA
,,VACIADO DE CONCRETO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,20,0
,,RELLENO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,
,,SPT MODULOS ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,20,0
,,,,,,,MANU,MANU,MANU,,,MANU,MANU,,,,MANU,,,,MANU,,,,,,,,,
,,CUADRILLA,HG,HG,HG,HG,HG,HG,HG,CRUZ,CRUZ,CRUZ,CRUZ,CRUZ,CRUZ,CRUZ,CRUZ,HG,HG,CRUZ,HG,HG,,,,,,,,
,,SELECCIÓN DE ESTRUCTURA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,
,,TRASLADO A CAMPO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,20,0
,,PREARAMADO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,
,,MONTAJE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,20,3
,,VERTICALIDAD TORSION,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,
,,REVISIÓN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,
,1,RECIBE WSP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,1,20,3
,1,VESTIDA CONDUCTOR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,1,20,3
,,TENDIDO CONDUCTOR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,
,1,REGULACIÓN CONDUCTOR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,1,20,3
