,,,,"CONSOLIDADO ENTREGA DE ESTRUCTURAS ELECTROMECANICA DE LINEA, PROYECTO PDO 220kV",,,,,,,,,,,,,,,,,,
,,,,,,,,,,18,13,,,,,,,,,,,
NUMERO,TIPO DE,OBSERVACION,SPT,ESTRUCTURA,CONDUCTOR,,,FIBRA OPTICA,,FIRMO,FIRMO,,,,,SEGUNDA VISITA,,,,,,
TORRE,TORRE,FORMAATO,SPT,ESTRUCTURA,FASE A,FASE B,FASE C,OPGW IZQ,OPGW DER,HMV,WSP,CAJAS DE OPGW,X,X,FECHA ,,AVANCE,ESTADO,x,x,x,
T019,A6,,"INSTELEC ha enviado el informe de SPT a HMV, WSP exxpresa no haber recibido dicha informacion.",Placas: no contiene informacion nivel de tension LT,,,,,,,,2,,,2025-10-26 00:00:00,,1,LIBERADA,,,,
T020,A7,,"INSTELEC ha enviado el informe de SPT a HMV, WSP exxpresa no haber recibido dicha informacion.",Placas: no contiene informacion nivel de tension LT,,,,,,,,,,,2025-10-26 00:00:00,,1,LIBERADA,,,,
T021,B2,,"INSTELEC ha enviado el informe de SPT a HMV, WSP exxpresa no haber recibido dicha informacion.",Placas: no contiene informacion nivel de tension LT,,,,,,,,,,,2025-10-26 00:00:00,,1,LIBERADA,,,,
T022,C7,,"INSTELEC ha enviado el informe de SPT a HMV, WSP exxpresa no haber recibido dicha informacion.",Placas: no contiene informacion nivel de tension LT,,cadena Jumper: Distacia punto caliente (aro) a estructura 2m,,,,,,,,,2025-10-26 00:00:00,,1,LIBERADA,,,,
T023,B7,,"INSTELEC ha enviado el informe de SPT a HMV, WSP exxpresa no haber recibido dicha informacion.",Placas: no contiene informacion nivel de tension LT,,,,,,,,,,,2025-10-26 00:00:00,,1,LIBERADA,,,,
T024,B7,,"INSTELEC ha enviado el informe de SPT a HMV, WSP exxpresa no haber recibido dicha informacion.",Placas: no contiene informacion nivel de tension LT,,,,,,,,,,,2025-10-26 00:00:00,,1,LIBERADA,,,,
T026,B3,,,,corregir paralelismo CORREGIDO,"cadena Jumper: Distancia punto caliente (aro) a estructura 2.28m,  y de aro rompe arco al puente 2.15 y al delta 2.56m",,,,si,si,,,,2025-10-29 00:00:00,,1,LIBERADA,PENDIENTE POR DEVOLUCION FIRMAS 100%,,,
T027,A6,,,,,,,"retirar tercer amortiguador, solo van 2: CORREGIDO","retirar tercer amortiguador, solo van 2 CORREGIDO",,,,,,2025-10-29 00:00:00,2025-11-12 00:00:00,1,LIBERADA,,,,
T028,B5,,,,,,,,,,,2,Grapas bajantes  de OPGW completos ,,,,1,LIBERADA,,,,
T029,C4,,,,,," cadena estabilizadora en ""I"" voltear cuenca de rotula del aisladfor de retencion, vano atrás - CORREGIDO",,,,,,,,2025-10-29 00:00:00,2025-11-12 00:00:00,1,LIBERADA,,,,
T030,B7,,,,,"cadena Jumper: Distancia punto caliente (aro) a estructura 2.28m,  y de aro rompe arco al puente 2.14m",,,,si,si,,,,2025-10-29 00:00:00,,1,LIBERADA,PENDIENTE POR DEVOLUCION FIRMAS 100%,,,
T031,A7,,,,,colocar pin en cadena en V  CORREGIDO,voltear amortiguador CORREGIDO,quitar un amortiguador vano atrás CORREGIDO,quitar un amortiguador vano atrás CORREGIDO,,,,,,2025-10-29 00:00:00,2025-11-12 00:00:00,1,LIBERADA,,,,
T032,A6,,,,,Voltear aisladores pa ra que pines queden en posicionde extraccion CORREGIDO,,cambiar colilla de cable de descarga CORREGIDO,,,,,,,2025-10-29 00:00:00,2025-11-12 00:00:00,1,LIBERADA,,,,49 100%
T033,B6,,,,,,,,,SI,,,,,2025-10-30 00:00:00,,1,LIBERADA,ANGELICA,,,
T034,B4,,,,,,,,,SI,,,,,2025-10-30 00:00:00,,1,LIBERADA,ANGELICA,,,
T035,B4,,,,,,,,,SI,,,,,2025-10-30 00:00:00,,1,LIBERADA,ANGELICA,,,
T036,D2,,,,,,,,,SI,,2,Grapas bajantes  de OPGW completos ,,2025-10-30 00:00:00,,1,LIBERADA,ANGELICA,,,
T037,C2,,,,,Corregir puente deforme fase B CORREGIDO,,,,,,,,,2025-10-30 00:00:00,2025-11-13 00:00:00,1,LIBERADA,,,,
T038,A3,,,,,,,,,SI,,,,,2025-10-30 00:00:00,,1,LIBERADA,ANGELICA,,,
T039,A3,,,,,,,,,SI,,,,,2025-10-30 00:00:00,,1,LIBERADA,ANGELICA,,,
T040,A4,,,,,,,,,si,si,,,,2025-10-31 00:00:00,,1,LIBERADA,,,,
T041,A4,,,,,,,,,si,si,,,,2025-10-31 00:00:00,,1,LIBERADA,,,,
T042,A3,,,,,,,,,si,si,,,,2025-10-31 00:00:00,,1,LIBERADA,,,,
T043,D5,,,,,,,,,si,si,,,,2025-10-31 00:00:00,,1,LIBERADA,,,,
